Province/State,Country/Region,last update,confirmed,deaths,recovered,Lat,Long
,Afghanistan,04/06/2020,367,11,18,33,65
,Albania,04/06/2020,377,21,116,41.1533,20.1683
,Algeria,04/06/2020,1423,173,90,28.0339,1.6596
,Andorra,04/06/2020,525,21,31,42.5063,1.5218
,Angola,04/06/2020,16,2,2,-11.2027,17.8739
,Antigua and Barbuda,04/06/2020,15,0,0,17.0608,-61.7964
,Argentina,04/06/2020,1554,48,325,-38.4161,-63.6167
,Armenia,04/06/2020,833,8,62,40.0691,45.0382
Australian Capital Territory,Australia,04/06/2020,96,2,40,-35.4735,149.0124
New South Wales,Australia,04/06/2020,2637,18,4,-33.8688,151.2093
Northern Territory,Australia,04/06/2020,28,0,2,-12.4634,130.8456
Queensland,Australia,04/06/2020,921,4,173,-28.0167,153.4
South Australia,Australia,04/06/2020,411,0,53,-34.9285,138.6007
Tasmania,Australia,04/06/2020,86,2,26,-41.4545,145.9707
Victoria,Australia,04/06/2020,1158,10,620,-37.8136,144.9631
Western Australia,Australia,04/06/2020,460,4,162,-31.9505,115.8605
,Austria,04/06/2020,12297,220,3463,47.5162,14.5501
,Azerbaijan,04/06/2020,641,7,44,40.1431,47.5769
,Bahamas,04/06/2020,29,5,4,25.0343,-77.3963
,Bahrain,04/06/2020,756,4,458,26.0275,50.55
,Bangladesh,04/06/2020,123,12,33,23.685,90.3563
,Barbados,04/06/2020,60,2,6,13.1939,-59.5432
,Belarus,04/06/2020,700,13,53,53.7098,27.9534
,Belgium,04/06/2020,20814,1632,3986,50.8333,4
,Benin,04/06/2020,26,1,0,9.3077,2.3158
,Bhutan,04/06/2020,5,0,5,27.5142,90.4336
,Bolivia,04/06/2020,183,11,2,-16.2902,-63.5887
,Bosnia and Herzegovina,04/06/2020,674,29,2,43.9159,17.6791
,Brazil,04/06/2020,12161,564,47,-14.235,-51.9253
,Brunei,04/06/2020,135,1,127,4.5353,114.7277
,Bulgaria,04/06/2020,549,22,82,42.7339,25.4858
,Burkina Faso,04/06/2020,364,18,39,12.2383,-1.5616
,Cabo Verde,04/06/2020,7,1,108,16.5388,-23.0418
,Cambodia,04/06/2020,114,0,1,11.55,104.9167
,Cameroon,04/06/2020,658,9,53,3.848,11.5021
Alberta,Canada,04/06/2020,1250,23,17,53.9333,-116.5765
British Columbia,Canada,04/06/2020,1266,38,3256,49.2827,-123.1207
Grand Princess,Canada,04/06/2020,13,0,0,37.6489,-122.6655
Manitoba,Canada,04/06/2020,203,2,0,53.7609,-98.8139
New Brunswick,Canada,04/06/2020,103,0,728,46.5653,-66.4619
Newfoundland and Labrador,Canada,04/06/2020,226,1,984,53.1355,-57.6604
Nova Scotia,Canada,04/06/2020,293,0,443,44.682,-63.7443
Ontario,Canada,04/06/2020,4347,150,570,51.2538,-85.3232
Prince Edward Island,Canada,04/06/2020,22,0,305,46.5107,-63.4168
Quebec,Canada,04/06/2020,8580,121,132,52.9399,-73.5491
Saskatchewan,Canada,04/06/2020,249,3,1395,52.9399,-106.4509
,Central African Republic,04/06/2020,8,0,252,6.6111,20.9394
,Chad,04/06/2020,9,0,144,15.4542,18.7322
,Chile,04/06/2020,4815,37,162,-35.6751,-71.543
Anhui,China,04/06/2020,990,6,310,31.8257,117.2264
Beijing,China,04/06/2020,587,8,469,40.1824,116.4142
Chongqing,China,04/06/2020,579,6,1252,30.0572,107.874
Fujian,China,04/06/2020,350,1,216,26.0789,117.9874
Gansu,China,04/06/2020,139,2,64014,37.8099,101.0583
Guangdong,China,04/06/2020,1532,8,1014,23.3417,113.4244
Guangxi,China,04/06/2020,254,2,74,23.8298,108.7881
Guizhou,China,04/06/2020,146,2,633,26.8154,106.8748
Hainan,China,04/06/2020,168,6,935,19.1959,109.7453
Hebei,China,04/06/2020,327,6,92,39.549,116.1306
Heilongjiang,China,04/06/2020,524,13,128,47.862,127.7615
Henan,China,04/06/2020,1276,22,10,33.882,113.614
Hong Kong,China,04/06/2020,914,4,75,22.3,114.2
Hubei,China,04/06/2020,67803,3212,18,30.9756,112.2707
Hunan,China,04/06/2020,1019,4,246,27.6104,111.7088
Inner Mongolia,China,04/06/2020,118,1,755,44.0935,113.9448
Jiangsu,China,04/06/2020,651,0,389,32.9711,119.455
Jiangxi,China,04/06/2020,937,1,133,27.614,115.7221
Jilin,China,04/06/2020,98,1,540,43.6661,126.1923
Liaoning,China,04/06/2020,142,2,144,41.2956,122.6085
Macau,China,04/06/2020,44,0,1,22.1667,113.55
Ningxia,China,04/06/2020,75,0,73,37.2692,106.1655
Qinghai,China,04/06/2020,18,0,172,35.7452,95.9956
Shaanxi,China,04/06/2020,256,3,1230,35.1917,108.8701
Shandong,China,04/06/2020,780,7,88,36.3427,118.1498
Shanghai,China,04/06/2020,536,6,2,31.202,121.4491
Shanxi,China,04/06/2020,138,0,5,37.5777,112.2922
Sichuan,China,04/06/2020,559,3,18,30.6171,102.7103
Tianjin,China,04/06/2020,180,3,41,39.3054,117.323
Tibet,China,04/06/2020,1,0,130,31.6927,88.0924
Xinjiang,China,04/06/2020,76,3,619,41.1129,85.2401
Yunnan,China,04/06/2020,184,2,18,24.974,101.487
Zhejiang,China,04/06/2020,1264,1,45,29.1832,120.0934
,Colombia,04/06/2020,1579,46,121,4.5709,-74.2973
,Congo (Brazzaville),04/06/2020,45,5,107,-4.0383,21.7587
,Congo (Kinshasa),04/06/2020,161,18,4,-4.0383,21.7587
,Costa Rica,04/06/2020,467,2,1378,9.7489,-83.7534
,Cote d'Ivoire,04/06/2020,323,3,9,7.54,-5.5471
,Croatia,04/06/2020,1222,16,1,45.1,15.2
,Diamond Princess,04/06/2020,712,11,33,0,0
,Cuba,04/06/2020,350,9,100,22,-80
,Cyprus,04/06/2020,465,9,259,35.1264,33.4299
,Czechia,04/06/2020,4822,78,5,49.8175,15.473
Faroe Islands,Denmark,04/06/2020,183,0,3,61.8926,-6.9118
Greenland,Denmark,04/06/2020,11,0,0,71.7069,-42.6043
,Denmark,04/06/2020,4681,187,62,56.2639,9.5018
,Djibouti,04/06/2020,90,0,4,11.8251,42.5903
,Dominican Republic,04/06/2020,1828,86,4,18.7357,-70.1627
,Ecuador,04/06/2020,3747,191,0,-1.8312,-78.1834
,Egypt,04/06/2020,1322,85,300,26,30
,El Salvador,04/06/2020,69,4,34,13.7942,-88.8965
,Equatorial Guinea,04/06/2020,16,0,0,1.5,10
,Eritrea,04/06/2020,31,0,31,15.1794,39.7823
,Estonia,04/06/2020,1108,19,50,58.5953,25.0136
,Eswatini,04/06/2020,10,0,14,-26.5225,31.4659
,Ethiopia,04/06/2020,44,2,1,9.145,40.4897
,Fiji,04/06/2020,14,0,40,-17.7134,178.065
,Finland,04/06/2020,2176,27,1,64,26
French Guiana,France,04/06/2020,72,0,7,3.9339,-53.1258
French Polynesia,France,04/06/2020,42,0,17250,-17.6797,149.4068
Guadeloupe,France,04/06/2020,135,7,1,16.25,-61.5833
Mayotte,France,04/06/2020,147,2,2,-12.8275,45.1662
New Caledonia,France,04/06/2020,18,0,39,-20.9043,165.618
Reunion,France,04/06/2020,349,0,28700,-21.1351,55.2471
Saint Barthelemy,France,04/06/2020,6,0,31,17.9,-62.8333
St Martin,France,04/06/2020,32,2,0,18.0708,-63.0501
Martinique,France,04/06/2020,151,4,269,14.6415,-61.0242
,France,04/06/2020,98010,8911,15,46.2276,2.2137
,Gabon,04/06/2020,24,1,5,-0.8037,11.6094
,Gambia,04/06/2020,4,1,0,13.4432,-15.3101
,Georgia,04/06/2020,188,2,8,42.3154,43.3569
,Germany,04/06/2020,103374,1810,0,51,9
,Ghana,04/06/2020,214,5,0,7.9465,-1.0232
,Greece,04/06/2020,1755,79,6,39.0742,21.8243
,Guatemala,04/06/2020,70,3,67,15.7835,-90.2308
,Guinea,04/06/2020,128,0,460,9.9456,-9.6966
,Guyana,04/06/2020,31,4,375,5,-58.75
,Haiti,04/06/2020,24,1,192,18.9712,-72.2852
,Holy See,04/06/2020,7,0,24236,41.9029,12.4534
,Honduras,04/06/2020,298,22,344,15.2,-86.2419
,Hungary,04/06/2020,744,38,25,47.1625,19.5033
,Iceland,04/06/2020,1562,6,585,64.9631,-19.0208
,India,04/06/2020,4778,136,22837,21,78
,Indonesia,04/06/2020,2491,209,8,-0.7893,113.9213
,Iran,04/06/2020,60500,3739,575,32,53
,Iraq,04/06/2020,1031,64,126,33,44
,Ireland,04/06/2020,5364,174,46,53.1424,-7.6921
,Israel,04/06/2020,8904,57,4,31,35
,Italy,04/06/2020,132547,16523,6598,43,12
,Jamaica,04/06/2020,58,3,103,18.1096,-77.2975
,Japan,04/06/2020,3654,85,33,36,138
,Jordan,04/06/2020,349,6,16,31.24,36.51
,Kazakhstan,04/06/2020,662,6,60,48.0196,66.9237
,Kenya,04/06/2020,158,6,3,-0.0236,37.9062
,"Korea, South",04/06/2020,10284,186,1,36,128
,Kuwait,04/06/2020,665,1,55,29.5,47.75
,Kyrgyzstan,04/06/2020,216,4,8,41.2044,74.7661
,Latvia,04/06/2020,542,1,500,56.8796,24.6032
,Lebanon,04/06/2020,541,19,2,33.8547,35.8623
,Liberia,04/06/2020,14,3,1241,6.4281,-9.4295
,Liechtenstein,04/06/2020,77,1,13,47.14,9.55
,Lithuania,04/06/2020,843,15,9,55.1694,23.8813
,Luxembourg,04/06/2020,2843,41,5,49.8153,6.1296
,Madagascar,04/06/2020,82,0,2,-18.7669,46.8691
,Malaysia,04/06/2020,3793,62,7,2.5,112.5
,Maldives,04/06/2020,19,0,633,3.2028,73.2207
,Malta,04/06/2020,241,0,37,35.9375,14.3754
,Mauritania,04/06/2020,6,1,4,21.0079,10.9408
,Mauritius,04/06/2020,244,7,2,-20.2,57.5
,Mexico,04/06/2020,2143,94,1,23.6345,-102.5528
,Moldova,04/06/2020,965,19,81,47.4116,28.3699
,Monaco,04/06/2020,77,1,1,43.7333,7.4167
,Mongolia,04/06/2020,15,0,3,46.8625,103.8467
,Montenegro,04/06/2020,233,2,1,42.5,19.3
,Morocco,04/06/2020,1120,80,2,31.7917,-7.0926
,Namibia,04/06/2020,16,0,5,-22.9576,18.4904
,Nepal,04/06/2020,9,0,1,28.1667,84.25
Aruba,Netherlands,04/06/2020,71,0,250,12.5186,-70.0358
Curacao,Netherlands,04/06/2020,13,1,176,12.1696,-68.99
Sint Maarten,Netherlands,04/06/2020,37,6,0,18.0425,-63.0548
,Netherlands,04/06/2020,18803,1867,26,52.1326,5.2913
,New Zealand,04/06/2020,1106,1,35,-40.9006,174.886
,Nicaragua,04/06/2020,6,1,30,12.8654,-85.2072
,Niger,04/06/2020,253,10,32,17.6078,8.0817
,Nigeria,04/06/2020,238,5,61,9.082,8.6753
,North Macedonia,04/06/2020,570,23,259,41.6086,21.7453
,Norway,04/06/2020,5865,76,13,60.472,8.4689
,Oman,04/06/2020,331,2,0,21,57
,Pakistan,04/06/2020,3766,53,12,30.3753,69.3451
,Panama,04/06/2020,1988,54,997,8.538,-80.7821
,Papua New Guinea,04/06/2020,2,0,73,-6.315,143.9555
,Paraguay,04/06/2020,113,5,162,-23.4425,-58.4438
,Peru,04/06/2020,2561,92,140,-9.19,-75.0152
,Philippines,04/06/2020,3660,163,131,13,122
,Poland,04/06/2020,4413,107,406,51.9194,19.1451
,Portugal,04/06/2020,11730,311,406,39.3999,-8.2245
,Qatar,04/06/2020,1832,4,4,25.3548,51.1839
,Romania,04/06/2020,4057,176,0,45.9432,24.9668
,Russia,04/06/2020,6343,47,1,60,90
,Rwanda,04/06/2020,105,0,1,-1.9403,29.8739
,Saint Lucia,04/06/2020,14,0,35,13.9094,-60.9789
,Saint Vincent and the Grenadines,04/06/2020,7,0,551,12.9843,-61.2872
,San Marino,04/06/2020,266,32,92,43.9424,12.4578
,Saudi Arabia,04/06/2020,2605,38,0,24,45
,Senegal,04/06/2020,226,2,0,14.4974,-14.4524
,Serbia,04/06/2020,2200,58,344,44.0165,21.0059
,Seychelles,04/06/2020,11,0,8,-4.6796,55.492
,Singapore,04/06/2020,1375,6,102,1.2833,103.8333
,Slovakia,04/06/2020,534,2,1,48.669,19.699
,Slovenia,04/06/2020,1021,30,95,46.1512,14.9955
,Somalia,04/06/2020,7,0,40437,5.1521,46.1996
,South Africa,04/06/2020,1686,12,38,-30.5595,22.9375
,Spain,04/06/2020,136675,13341,2,40,-4
,Sri Lanka,04/06/2020,178,5,0,7,81
,Sudan,04/06/2020,12,2,205,12.8628,30.2176
,Suriname,04/06/2020,10,1,8056,3.9193,-56.0278
,Sweden,04/06/2020,7206,477,2,63,16
,Switzerland,04/06/2020,21657,765,57,46.8182,8.2275
,Taiwan*,04/06/2020,373,5,3,23.7,121
